location_id	date	transaction_id	profit
007	01-02-2019	001	0020.55
007	01-02-2019	002	0021.45
007	01-02-2019	003	0023.44
007	01-02-2019	004	0024.63
007	01-02-2019	005	0017.71
007	01-02-2019	006	0021.45
007	01-02-2019	007	0022.01
007	01-02-2019	008	0024.87
007	01-02-2019	009	0025.58
007	01-02-2019	010	0023.49
007	01-02-2019	011	0022.92
007	01-02-2019	012	0021.57
007	01-02-2019	013	0023.22
007	01-02-2019	014	0020.39
007	01-02-2019	015	0022.58
007	01-02-2019	016	0021.87
007	01-02-2019	017	0019.73
007	01-02-2019	018	0023.14
007	01-02-2019	019	0022.11
007	01-02-2019	020	0021.75
007	01-03-2019	001	0021.08
007	01-03-2019	002	0018.65
007	01-03-2019	003	0020.49
007	01-03-2019	004	0023.66
007	01-03-2019	005	0025.77
007	01-03-2019	006	0020.45
007	01-03-2019	007	0016.77
007	01-03-2019	008	00020.3
007	01-03-2019	009	0019.89
007	01-03-2019	010	0023.24
007	01-03-2019	011	00021.1
007	01-03-2019	012	0022.02
007	01-03-2019	013	00021.6
007	01-03-2019	014	0021.17
007	01-03-2019	015	0023.69
007	01-03-2019	016	00023.9
007	01-03-2019	017	0021.05
007	01-03-2019	018	0024.01
007	01-03-2019	019	0021.37
007	01-03-2019	020	0021.81
007	01-03-2019	021	0023.54
007	01-03-2019	022	0021.58
007	01-03-2019	023	0018.65
007	01-03-2019	024	0019.53
007	01-04-2019	001	0022.94
007	01-04-2019	002	0021.32
007	01-04-2019	003	00021.2
007	01-04-2019	004	0025.97
007	01-04-2019	005	0022.49
007	01-04-2019	006	0022.72
007	01-04-2019	007	0022.38
007	01-04-2019	008	0018.94
007	01-04-2019	009	0020.48
007	01-04-2019	010	0023.37
007	01-04-2019	011	0022.04
007	01-04-2019	012	00022.3
007	01-04-2019	013	0021.09
007	01-04-2019	014	0021.22
007	01-04-2019	015	0026.51
007	01-04-2019	016	00018.2
007	01-04-2019	017	00020.9
007	01-04-2019	018	0022.73
007	01-04-2019	019	0020.82
007	01-04-2019	020	00021.8
007	01-04-2019	021	0022.68
007	01-04-2019	022	0023.93
007	01-04-2019	023	0021.04
007	01-04-2019	024	0025.27
007	01-04-2019	025	0022.44
007	01-04-2019	026	0025.06
007	01-04-2019	027	0020.25
007	01-04-2019	028	0020.32
007	01-05-2019	001	0025.89
007	01-05-2019	002	0023.64
007	01-05-2019	003	0021.32
007	01-05-2019	004	0024.13
007	01-05-2019	005	00021.1
007	01-05-2019	006	0022.01
007	01-05-2019	007	0022.63
007	01-05-2019	008	0023.79
007	01-05-2019	009	0025.68
007	01-05-2019	010	0022.14
007	01-05-2019	011	0019.12
007	01-05-2019	012	0021.19
007	01-05-2019	013	0020.04
007	01-05-2019	014	0024.01
007	01-05-2019	015	0021.33
007	01-05-2019	016	0020.86
007	01-05-2019	017	0024.19
007	01-05-2019	018	0021.94
007	01-05-2019	019	0021.46
007	01-06-2019	001	00024.2
007	01-06-2019	002	00022.8
007	01-06-2019	003	0025.11
007	01-06-2019	004	0019.59
007	01-06-2019	005	0020.25
007	01-06-2019	006	0023.15
007	01-06-2019	007	0022.31
007	01-06-2019	008	00020.7
007	01-06-2019	009	0022.11
007	01-06-2019	010	0025.08
007	01-06-2019	011	0020.82
007	01-06-2019	012	0023.74
007	01-06-2019	013	0019.73
007	01-06-2019	014	0019.02
007	01-06-2019	015	0022.65
007	01-06-2019	016	0022.77
007	01-06-2019	017	0020.34
007	01-06-2019	018	0019.21
007	01-06-2019	019	0020.03
007	01-07-2019	001	0022.68
007	01-07-2019	002	0022.97
007	01-07-2019	003	0023.29
007	01-07-2019	004	0021.49
007	01-07-2019	005	0021.86
007	01-07-2019	006	0022.04
007	01-07-2019	007	0020.97
007	01-07-2019	008	0021.48
007	01-07-2019	009	0021.02
007	01-07-2019	010	0017.65
007	01-07-2019	011	00025.1
007	01-07-2019	012	0021.01
007	01-07-2019	013	0025.68
007	01-08-2019	001	0020.34
007	01-08-2019	002	00021.1
007	01-08-2019	003	0024.98
007	01-08-2019	004	0020.63
007	01-08-2019	005	0019.36
007	01-08-2019	006	00021.3
007	01-08-2019	007	0016.51
007	01-08-2019	008	0019.96
007	01-09-2019	001	0022.38
007	01-09-2019	002	0020.21
007	01-09-2019	003	0021.91
007	01-09-2019	004	0020.03
007	01-09-2019	005	0021.76
007	01-09-2019	006	0022.99
007	01-09-2019	007	0025.16
007	01-09-2019	008	00022.8
007	01-09-2019	009	0018.77
007	01-09-2019	010	0022.29
007	01-09-2019	011	0024.63
007	01-09-2019	012	0019.78
007	01-09-2019	013	0020.58
007	01-10-2019	001	0020.91
007	01-10-2019	002	0022.44
007	01-10-2019	003	0020.87
007	01-10-2019	004	0023.08
007	01-10-2019	005	0024.81
007	01-10-2019	006	0020.22
007	01-10-2019	007	0019.29
007	01-10-2019	008	0023.08
007	01-11-2019	001	0023.13
007	01-11-2019	002	0022.14
007	01-11-2019	003	0022.83
007	01-11-2019	004	0021.45
007	01-11-2019	005	0020.16
007	01-11-2019	006	0021.14
007	01-11-2019	007	0020.72
007	01-11-2019	008	0020.71
007	01-12-2019	001	0019.22
007	01-12-2019	002	0024.62
007	01-12-2019	003	00023.1
007	01-12-2019	004	0023.83
007	01-12-2019	005	0020.09
007	01-12-2019	006	0023.98
007	01-12-2019	007	0022.86
007	01-12-2019	008	0022.53
007	01-12-2019	009	0021.88
007	01-12-2019	010	0021.38
007	01-12-2019	011	0021.76
007	01-12-2019	012	0020.94
007	01-12-2019	013	0023.97
007	01-12-2019	014	0021.88
007	01-12-2019	015	0018.17
007	01-12-2019	016	0021.35
007	01-12-2019	017	0020.84
007	01-12-2019	018	0022.86
007	01-13-2019	001	0024.39
007	01-13-2019	002	0020.53
007	01-13-2019	003	0027.13
007	01-13-2019	004	0021.13
007	01-13-2019	005	0022.67
007	01-13-2019	006	0023.69
007	01-13-2019	007	0022.43
007	01-13-2019	008	0021.46
007	01-13-2019	009	0020.74
007	01-13-2019	010	0024.96
007	01-13-2019	011	0018.72
007	01-13-2019	012	0019.44
007	01-14-2019	001	0021.18
007	01-14-2019	002	0022.22
007	01-14-2019	003	0022.25
007	01-14-2019	004	00018.7
007	01-14-2019	005	0017.12
007	01-14-2019	006	0000022
007	01-14-2019	007	0023.89
007	01-14-2019	008	0021.64
007	01-15-2019	001	0025.67
007	01-15-2019	002	0019.99
007	01-15-2019	003	0024.27
007	01-15-2019	004	00021.3
007	01-15-2019	005	0023.93
007	01-15-2019	006	0020.69
007	01-15-2019	007	0021.06
007	01-15-2019	008	0021.14
007	01-15-2019	009	0019.29
007	01-15-2019	010	0022.86
007	01-15-2019	011	0023.94
007	01-15-2019	012	0024.96
007	01-15-2019	013	0022.76
007	01-16-2019	001	0019.98
007	01-16-2019	002	0022.58
007	01-16-2019	003	0019.69
007	01-16-2019	004	0021.53
007	01-16-2019	005	0021.96
007	01-16-2019	006	0020.03
007	01-16-2019	007	0020.96
007	01-16-2019	008	0023.78
007	01-16-2019	009	0021.62
007	01-16-2019	010	0019.82
007	01-16-2019	011	00020.9
007	01-16-2019	012	0024.19
007	01-16-2019	013	0024.12
007	01-17-2019	001	00021.9
007	01-17-2019	002	0022.59
007	01-17-2019	003	0020.59
007	01-17-2019	004	0019.23
007	01-17-2019	005	0022.19
007	01-17-2019	006	0021.26
007	01-17-2019	007	00022.7
007	01-17-2019	008	0021.62
007	01-17-2019	009	0023.46
007	01-17-2019	010	0000024
007	01-17-2019	011	0022.37
007	01-17-2019	012	0023.07
007	01-17-2019	013	0021.13
007	01-18-2019	001	0024.22
007	01-18-2019	002	0020.42
007	01-18-2019	003	0024.02
007	01-18-2019	004	0024.56
007	01-18-2019	005	0022.12
007	01-18-2019	006	0021.57
007	01-18-2019	007	0024.95
007	01-18-2019	008	0021.66
007	01-18-2019	009	0020.02
007	01-18-2019	010	0022.22
007	01-18-2019	011	0021.96
007	01-18-2019	012	0022.95
007	01-18-2019	013	0021.23
007	01-19-2019	001	0023.62
007	01-19-2019	002	00023.2
007	01-19-2019	003	0018.08
007	01-19-2019	004	00020.7
007	01-19-2019	005	0018.98
007	01-19-2019	006	0021.99
007	01-19-2019	007	0023.43
007	01-19-2019	008	0023.96
007	01-19-2019	009	0023.05
007	01-19-2019	010	0017.11
007	01-19-2019	011	0000020
007	01-19-2019	012	0021.84
007	01-19-2019	013	0017.47
007	01-19-2019	014	0023.79
007	01-19-2019	015	0025.92
007	01-19-2019	016	0021.94
007	01-19-2019	017	0026.83
007	01-19-2019	018	00017.4
007	01-19-2019	019	0019.58
007	01-19-2019	020	00021.2
