location_id,date,temperature,pressure,humidity,cloudy,precipitation
003,2020-01-22,18.14,1035.0586854460093,0.44,TRUE,FALSE
008,2022-01-29,14.36,1027.2535211267605,0.95,TRUE,FALSE
005,2021-11-28,35.42,994.6948356807511,0.37,FALSE,FALSE
006,2021-10-12,37.94,1003.838028169014,0.11,TRUE,TRUE
002,2020-12-03,23.36,1027.4765258215962,0.6,FALSE,FALSE
005,2019-04-02,32.18,1023.2394366197183,0.31,TRUE,FALSE
008,2020-04-16,40.28,986.6666666666666,0.63,TRUE,TRUE
005,2020-10-07,43.16,992.0187793427231,0.88,TRUE,TRUE
008,2020-03-11,26.6,977.9694835680751,0.65,TRUE,TRUE
001,2022-10-17,44.96,1037.2887323943662,0.67,FALSE,FALSE
005,2021-01-14,4.099999999999998,995.3638497652582,0.92,FALSE,FALSE
005,2021-07-21,71.24000000000001,1025.2464788732395,0.96,TRUE,FALSE
003,2020-07-18,74.66,979.9765258215963,0.74,FALSE,FALSE
001,2020-09-02,70.16,1027.9225352112676,0.83,TRUE,FALSE
001,2022-10-14,46.04,967.2652582159625,0.92,TRUE,TRUE
010,2022-10-15,49.82,963.0281690140845,0.94,FALSE,FALSE
008,2021-06-11,71.24000000000001,975.962441314554,0.67,TRUE,TRUE
006,2020-02-22,4.640000000000001,991.7957746478874,0.35,FALSE,FALSE
004,2021-03-24,25.7,1019.8943661971831,0.99,TRUE,TRUE
004,2022-10-26,52.519999999999996,1014.9882629107981,0.84,FALSE,FALSE
002,2020-09-06,69.25999999999999,965.7042253521126,0.52,TRUE,TRUE
013,2022-06-27,77.53999999999999,987.112676056338,0.97,FALSE,FALSE
006,2019-04-10,36.32,1014.5422535211268,0.62,FALSE,FALSE
009,2022-07-06,69.08000000000001,970.387323943662,0.99,FALSE,FALSE
008,2019-11-30,27.32,1022.5704225352113,0.93,TRUE,FALSE
002,2019-07-17,68,986.8896713615023,0.73,TRUE,TRUE
013,2020-09-25,59.540000000000006,1012.7582159624413,0.99,TRUE,TRUE
009,2020-06-16,59.36,1005.8450704225352,0.94,FALSE,FALSE
002,2019-12-22,24.08,1016.9953051643192,0.83,TRUE,TRUE
004,2019-02-13,3.379999999999999,1029.706572769953,0,FALSE,FALSE
013,2020-03-27,31.28,965.9272300469484,0.24,TRUE,TRUE
012,2022-04-29,47.120000000000005,979.0845070422536,0.99,FALSE,FALSE
001,2022-02-01,11.84,1041.9718309859154,0.79,FALSE,FALSE
002,2020-04-09,54.68,967.4882629107981,0.37,TRUE,TRUE
010,2020-05-21,58.28,966.8192488262911,0.6,FALSE,FALSE
004,2020-05-21,62.6,977.5234741784037,0.99,TRUE,TRUE
007,2021-03-28,19.58,1005.8450704225352,0.93,TRUE,TRUE
010,2020-07-18,74.30000000000001,963.4741784037559,0.7,FALSE,FALSE
007,2022-08-14,66.92,1046.8779342723005,0.82,FALSE,FALSE
004,2019-09-18,59.18,1031.044600938967,0.31,TRUE,FALSE
001,2021-08-09,62.24,1010.5281690140845,0.76,FALSE,FALSE
006,2019-07-05,57.92,984.6596244131456,0.93,FALSE,FALSE
006,2019-12-11,22.1,984.2136150234742,0.98,FALSE,FALSE
001,2021-09-16,59.36,1023.6854460093897,0.5,FALSE,FALSE
011,2019-05-30,65.66,981.537558685446,0.92,TRUE,TRUE
002,2020-11-11,39.74,1041.7488262910797,0.96,TRUE,FALSE
008,2020-12-15,20.84,1017.2183098591549,0.56,FALSE,FALSE
004,2019-04-26,37.94,984.6596244131456,0.8,TRUE,FALSE
011,2022-09-08,65.84,991.1267605633802,0.8,TRUE,FALSE
007,2022-07-26,62.42,1035.281690140845,0.58,FALSE,FALSE
007,2022-09-30,49.82,1045.9859154929577,0.81,TRUE,FALSE
003,2021-09-22,48.92,967.4882629107981,0.75,FALSE,FALSE
003,2019-11-15,31.82,958.5680751173709,0.64,FALSE,FALSE
001,2019-05-28,59.540000000000006,973.0633802816901,0.8,FALSE,FALSE
007,2020-07-04,70.34,1044.2018779342723,0.9,FALSE,FALSE
010,2021-08-17,66.56,964.1431924882629,0.92,TRUE,TRUE
008,2020-10-04,40.64,1015.8802816901408,0.38,FALSE,FALSE
005,2021-09-24,54.86,996.924882629108,1,TRUE,TRUE
003,2019-03-22,21.38,1032.605633802817,0.19,TRUE,TRUE
006,2019-12-07,20.84,1031.044600938967,0,FALSE,FALSE
002,2020-11-09,38.480000000000004,1044.2018779342723,0.67,TRUE,FALSE
005,2021-04-16,44.24,967.9342723004695,0.99,TRUE,TRUE
008,2020-11-03,29.12,1022.3474178403756,0.89,TRUE,TRUE
011,2020-04-04,36.86,976.8544600938967,0.93,TRUE,TRUE
012,2020-03-11,27.14,1006.2910798122066,0.3,FALSE,FALSE
008,2022-10-05,49.46,1035.0586854460093,0.79,TRUE,FALSE
002,2020-07-21,63.14,1021.9014084507043,1,TRUE,TRUE
013,2022-09-12,56.480000000000004,1008.9671361502348,0.57,FALSE,FALSE
006,2022-09-03,65.66,1023.9084507042254,0.85,TRUE,FALSE
004,2019-09-06,54.86,1009.1901408450705,0.86,FALSE,FALSE
012,2019-05-12,69.80000000000001,1007.8521126760563,1,TRUE,TRUE
001,2019-01-15,15.98,965.7042253521126,0.41,FALSE,FALSE
012,2021-02-11,18.14,972.3943661971831,0,FALSE,FALSE
002,2021-04-25,46.04,984.2136150234742,0.98,TRUE,TRUE
012,2021-01-27,20.299999999999997,1013.8732394366198,0.52,FALSE,FALSE
005,2019-02-09,9.5,1028.1455399061033,0,FALSE,FALSE
